Year,Quarter,passengers,flights,revenue,income,Airline
2002,Q4,17765792,238175,"1,400,553","42,399",Southwest
2003,Q1,17169572,233090,"1,351,261","23,860",Southwest
2003,Q2,19446533,237536,"1,515,087","245,901",Southwest
2003,Q3,19708171,240924,"1,553,404","106,097",Southwest
2003,Q4,18395064,238388,"1,516,944","65,781",Southwest
2004,Q1,18190404,238484,"1,483,986","25,808",Southwest
2004,Q2,21628048,242413,"1,716,248","112,852",Southwest
2004,Q3,21102752,249001,"1,674,419","119,179",Southwest
2004,Q4,20144834,251776,"1,654,967","55,530",Southwest
2005,Q1,19780746,249153,"1,663,506","76,270",Southwest
2005,Q2,22777660,258334,"1,944,489","158,784",Southwest
2005,Q3,23595749,261938,"1,988,625","227,271",Southwest
2005,Q4,22225745,259378,"1,987,217","86,058",Southwest
2006,Q1,22015484,262450,"2,019,452","61,462",Southwest
2006,Q2,25306858,270949,"2,449,027","333,003",Southwest
2006,Q3,24880646,279039,"2,342,058","47,870",Southwest
2006,Q4,24073919,279905,"2,275,762","56,745",Southwest
2007,Q1,22903073,276903,"2,197,557","92,745",Southwest
2007,Q2,26889424,290648,"2,583,169","278,324",Southwest
2007,Q3,27242613,297791,"2,588,018","162,217",Southwest
2007,Q4,24875699,295372,"2,492,039","111,388",Southwest
2008,Q1,24708615,294793,"2,529,602","33,563",Southwest
2008,Q2,27550957,303432,"2,869,160","320,985",Southwest
2008,Q3,25686181,300537,"2,890,517","-120,315",Southwest
2008,Q4,23974845,292392,"2,733,964","-55,992",Southwest
2009,Q1,23049990,279135,"2,356,573","-90,959",Southwest
2009,Q2,26505438,289573,"2,615,964","90,720",Southwest
2009,Q3,26396360,283663,"2,665,584","-16,179",Southwest
2009,Q4,25386440,272740,"2,712,217","115,790",Southwest
2010,Q1,23694464,261892,"2,630,038","10,788",Southwest
2010,Q2,27554201,287222,"3,168,317","112,214",Southwest
2010,Q3,27814896,287200,"3,191,758","204,670",Southwest
2010,Q4,27163960,278137,"3,113,597","131,236",Southwest
2011,Q1,25599118,273823,"3,102,893","4,854",Southwest
2011,Q2,28854794,296151,"3,595,869","187,604",Southwest
2011,Q3,28477041,293772,"3,552,684","-142,708",Southwest
2011,Q4,27655862,281417,"3,403,195","150,912",Southwest
2012,Q1,25966124,274655,"3,313,519","108,599",Southwest
2012,Q2,29219388,292792,"4,575,617","226,347",Southwest
2012,Q3,29255363,289353,"4,266,181","15,905",Southwest
2012,Q4,27793199,275647,"4,132,821","77,557",Southwest
2013,Q1,26187513,268449,"4,033,817","57,808",Southwest
2013,Q2,30498981,292217,"4,585,613","221,280",Southwest
