,Year,Quarter,passengers,flights,revenue,income,Airline
0,2003,Q1,134191930,2272705,20692159,-1085012,American
1,2003,Q2,148395128,2354008,22066941,606461,American
2,2003,Q3,153945154,2444160,23166224,-642496,American
3,2003,Q4,146761550,2382542,22944772,-348536,American
4,2004,Q1,143269305,2383331,23886067,-1622122,American
5,2004,Q2,163243209,2488165,25861558,-2018851,American
6,2004,Q3,164666945,2573322,25701945,-1702368,American
7,2004,Q4,158589027,2517571,25452940,-4562813,American
8,2005,Q1,153891514,2434886,25688272,-2956735,American
9,2005,Q2,171956796,2574505,28418255,-1511275,American
10,2005,Q3,172107404,2592957,29046508,-2231293,American
11,2005,Q4,159305773,2430792,28705027,-13048233,American
12,2006,Q1,154520196,2325000,28396127,12049285,American
13,2006,Q2,172270869,2438751,31743405,-642693,American
14,2006,Q3,169091390,2518442,31076705,-592826,American
15,2006,Q4,162480162,2425799,29690689,-1770107,American
16,2007,Q1,157032821,2358954,28814565,-488478,American
17,2007,Q2,178173859,2485900,32017353,3403274,American
18,2007,Q3,178423085,2541073,32291692,626687,American
19,2007,Q4,165538993,2449795,31379368,-545608,American
20,2008,Q1,159576540,2357465,31408302,-9777777,American
21,2008,Q2,173217624,2435692,34244714,-2254820,American
22,2008,Q3,168047954,2396631,34060087,-2633833,American
23,2008,Q4,150867822,2185846,30015228,-3507540,American
24,2009,Q1,142030431,2117195,26183386,-1516128,American
25,2009,Q2,161092010,2237976,27369441,-344471,American
26,2009,Q3,164272162,2285102,28216303,-144230,American
27,2009,Q4,150657675,2126162,27911887,-247244,American
28,2010,Q1,142366311,2057745,27244170,-704121,American
29,2010,Q2,163030349,2215466,30624878,657279,American
30,2010,Q3,166817949,2282505,31131870,1178343,American
31,2010,Q4,157322815,2144177,30072585,44633,American
32,2011,Q1,145612167,2061351,30534144,-455423,American
33,2011,Q2,166619412,2220526,34663890,1152067,American
34,2011,Q3,168696300,2258154,34676558,761688,American
35,2011,Q4,157319353,2107230,32947504,-17775,American
36,2012,Q1,149685636,2053367,32520037,-213497,American
37,2012,Q2,167344097,2167790,35763241,1513613,American
38,2012,Q3,168469075,2188915,34263076,564041,American
39,2012,Q4,156789579,2034765,33283857,348019,American
40,2013,Q1,150121555,1979715,32682301,227114,American
41,2013,Q2,167782293,2134645,35527896,2147207,American
42,2013,Q3,168191981,2181922,35990506,2384395,American
43,2013,Q4,159581445,2026478,34944094,5763127,American
44,2014,Q1,151232493,1898379,33558448,926580,American
45,2014,Q2,172397974,2074184,38071207,3467788,American
46,2014,Q3,174045365,2124911,37924357,2828108,American
47,2014,Q4,165148717,2009080,36317906,1422907,American
48,2015,Q1,156449349,1888598,34400448,3055504,American
49,2015,Q2,179760694,2057277,37988917,4678728,American
50,2015,Q3,183887812,2115143,38170710,6494263,American
51,2015,Q4,175912913,1998671,36372331,6983407,American
52,2016,Q1,165177851,1946767,34766496,2856167,American
53,2016,Q2,186403019,2092211,38683010,4229096,American
54,2016,Q3,188252549,2136203,39267618,3407438,American
55,2016,Q4,180155941,2008663,38390204,2861738,American
56,2017,Q1,169149528,1934200,36984571,2647152,American
57,2017,Q2,192287211,2098944,41730343,5046701,American
58,2017,Q3,192381566,2126777,40500338,3575301,American
59,2017,Q4,187909672,2016126,41323753,5752299,American
60,2018,Q1,176551075,1952300,39417877,3150849,American
61,2018,Q2,202678768,2151663,44253860,3746860,American
62,2018,Q3,203345831,2202646,43798660,3473163,American
63,2018,Q4,195387206,2091795,44215557,3738630,American
64,2019,Q1,183946193,2004569,41375991,2732085,American
65,2019,Q2,211091588,2190932,46580348,4891390,American
66,2019,Q3,211976158,2243391,45748634,4344519,American
67,2019,Q4,204457828,2155977,45636832,3737977,American
68,2020,Q1,155904656,1976973,35959580,-3227325,American
69,2020,Q2,26870755,699345,13825409,-8067065,American
70,2020,Q3,71207493,1232347,19785396,-8799633,American
71,2020,Q4,81583991,1260006,23703643,-4506732,American
72,2021,Q1,88131444,1269853,23218504,-1350602,American
73,2021,Q2,156659581,1697791,35279846,2810436,American
74,2021,Q3,181273240,1936721,41307242,3640074,American
75,2021,Q4,179859952,1854021,43920124,-462609,American
76,2022,Q1,159507147,1732650,41235968,-2329871,American
77,2022,Q2,197848793,1900377,55311548,3785474,American
78,2022,Q3,199081647,1946818,53183582,2285211,American
79,2022,Q4,194086672,1839792,53582337,2307189,American
80,2023,Q1,184710766,1828405,49565822,-645141,American
81,2023,Q2,211442744,1958858,55293878,4648323,American
